,Limonene,beta-Pinene,alpha-Pinene,para-Cymene,beta-Caryophyllene,delta-Cadinene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Geraniol,Geranyl acetate,Citronellol,Nerol,Germacrene D,Menthol,(E)-beta-Ocimene,(Z)-beta-Ocimene,Guaiacol,Sesquiterpene hydrocarbons,Linalyl acetate,Geranial,Furopelargone A,Citronellyl acetate,cis-Linalool oxide (unknown isomer),trans-Linalool oxide (unknown isomer),Sesquiterpene hydrocarbons (unknown),Citronellyl formate,Geranyl formate,Menthone,cis-Rose oxide,trans-Rose oxide,Isomenthone,2-Phenylethanol,Isomenthol,Geranyl propionate,Geranyl isovalerate,2-Phenylethyl isobutyrate,Geranyl isobutyrate,Citronellyl butyrate,10-epi-gamma-Eudesmol,"Sesquiterpenes, oxygen-containing-",2-Phenylethyl butyrate,Citronellyl propionate,Geranyl butyrate,Geranyl tiglate,Monoterpenyl esters,Isogeraniol,Neryl formate,2-Phenylethyl propionate,Geranyl 2-methylbutyrate,Citronellyl tiglate,2-Phenylethyl tiglate,"Guaia-6,9-diene",Furopelargone B,Geranyl hexanoate
"Geranium (Egypt) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0007,0.0007,0.0038,0.0006,0.0105,0.0,0.0008,0.0,0.0003,0.0006,0.0003,0.0093,0.0947,0.0001,0.18,0.0061,0.274,0.0088,0.0,0.0,0.0007,0.0005,0.0,0.0,0.0,0.0,0.0001,0.0025,0.0028,0.0051,0.0,0.0674,0.0475,0.0131,0.0101,0.0034,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.04,0.0,0.0106,0.0,0.0148,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0027,0.0,0.0
"Geranium (India)  4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.175,0.0,0.205,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.006,0.0024,0.085,0.0,0.0,0.0139,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.017,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.06,0.0055,0.0
"Geranium (Morocco) 3 - Pelargonium graveolens L'Herti. ex Aiton, fam. Geraniaceae",0.0,0.0,0.006,0.0,0.005,0.006,0.0,0.0,0.0,0.0,0.0,0.01,0.099,0.0,0.206,0.0,0.28,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.008,0.065,0.041,0.021,0.008,0.003,0.042,0.0,0.0,0.007,0.0,0.0,0.0,0.004,0.025,0.018,0.0,0.0,0.004,0.011,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.005,0.0,0.0
"Geranium 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.005,0.0033,0.0112,0.0026,0.0,0.0,0.003,0.0,0.0,0.0017,0.0,0.0114,0.1535,0.0,0.1704,0.0,0.2378,0.0096,0.0,0.0,0.0009,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0788,0.0513,0.049,0.0,0.0,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328,0.0,0.0
"Geranium, Bourbon  1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0001,0.0001,0.0076,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.1379,0.0001,0.2067,0.0001,0.2324,0.0,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1239,0.0592,0.0109,0.0052,0.0028,0.0812,0.0,0.0001,0.017,0.0001,0.0,0.0001,0.0,0.0203,0.0,0.0,0.0174,0.0168,0.0045,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0
"Geranium, Bourbon  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0011,0.0016,0.0086,0.0011,0.0074,0.0,0.0019,0.0,0.0003,0.001,0.0003,0.007,0.129,0.0002,0.1745,0.0039,0.2128,0.0124,0.0,0.0,0.0014,0.0016,0.0,0.0,0.0,0.0,0.0037,0.0017,0.0039,0.0024,0.0,0.0837,0.0755,0.015,0.0064,0.0021,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0016,0.0,0.0134,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.039,0.0,0.0
"Geranium, Bourbon  3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.001,0.001,0.0115,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.1135,0.0,0.1816,0.001,0.2134,0.0106,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0133,0.0,0.0,0.001,0.001,0.0,0.0775,0.0656,0.0067,0.0073,0.0025,0.0847,0.0,0.0,0.014,0.0,0.001,0.0,0.0034,0.0,0.0,0.0,0.0,0.0155,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0535,0.0055,0.001
"Geranium, Bourbon  5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1827,0.0,0.2007,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.1017,0.0897,0.0,0.0067,0.0024,0.0811,0.0,0.0,0.0139,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0172,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0722,0.0052,0.0
"Geranium, Bourbon  6 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379,0.0,0.2067,0.0,0.2324,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239,0.0593,0.0109,0.0052,0.0028,0.0812,0.0068,0.0,0.0169,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0174,0.005,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Geranium, Bourbon  7 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.107,0.0,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.063,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0
"Geranium, Bourbon  8 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.005,0.0033,0.0112,0.0026,0.0,0.0,0.003,0.0,0.0,0.0017,0.0,0.0114,0.1535,0.0,0.1704,0.0,0.2378,0.0096,0.0,0.0,0.0009,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0788,0.0513,0.049,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328,0.0,0.0
"Geranium, Bourbon 11 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.0,0.0,0.008,0.0,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.008,0.099,0.0,0.181,0.0,0.206,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.02,0.074,0.056,0.01,0.006,0.003,0.095,0.0,0.0,0.012,0.0,0.0,0.0,0.005,0.0,0.007,0.0,0.0,0.01,0.012,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.058,0.0,0.0
